offerdLoad,throughput,numOfTransmissions,numOfCollisions,fracMediaFree,numPktPerNode,avgLatencyPerNode

3.5,0.742249197051,156326,56326,0.515855360107,10000,5933999.53139

3.6,0.743953522657,155735,55735,0.5156779178,10000,5977340.13591

3.7,0.742079892361,155803,55803,0.516168016627,10000,6007334.78185

3.8,0.740730317689,156653,56653,0.516452711836,10000,6063366.36075

3.9,0.743139612766,156021,56021,0.515427610589,10000,6082194.1133

4.0,0.741021805344,156093,56093,0.516213338579,10000,6104681.56739

4.1,0.742479041529,155419,55419,0.516324330618,10000,6140281.1638

4.2,0.742706309711,156283,56283,0.51557443045,10000,6166001.82371

4.3,0.742486817424,155759,55759,0.516209333745,10000,6202920.0792

4.4,0.741598975307,155473,55473,0.51645637758,10000,6218005.98375

4.5,0.740725458742,156220,56220,0.516729411785,10000,6253880.08281

4.6,0.740384681753,156419,56419,0.516431974503,10000,6279413.68306

4.7,0.739743402806,155862,55862,0.516083507717,10000,6284182.21461

4.8,0.74297852845,156242,56242,0.515949850852,10000,6323754.80406

4.9,0.741344543505,156812,56812,0.515492021324,10000,6334945.94277

5.0,0.740765805759,156365,56365,0.516401715618,10000,6366640.16717

5.1,0.742030586661,156676,56676,0.515469662826,10000,6382532.36099

5.2,0.743086885764,155799,55799,0.515519439177,10000,6388969.00267

5.3,0.741694567615,156545,56545,0.51584293622,10000,6418937.37948

5.4,0.741390461701,155967,55967,0.515876354833,10000,6423971.45369

5.5,0.74054704044,155834,55834,0.516395960734,10000,6454813.85507

5.6,0.743628165383,156180,56180,0.515344791548,10000,6458059.48621

5.7,0.742598999526,156439,56439,0.515527926146,10000,6477746.99196

5.8,0.741649557456,155989,55989,0.515831839319,10000,6497079.02148

5.9,0.742146317705,156224,56224,0.51582801068,10000,6512965.58799

6.0,0.740769517559,156119,56119,0.516909890113,10000,6548408.44291

6.1,0.739977627992,156153,56153,0.515797104238,10000,6544865.37332

6.2,0.741411885925,155934,55934,0.515809958581,10000,6546261.31402

6.3,0.740290313994,155680,55680,0.516696958121,10000,6562431.24308

6.4,0.74062477058,156005,56005,0.516516287191,10000,6577027.24157

6.5,0.74063033542,156109,56109,0.516459932197,10000,6586722.47059

6.6,0.742048444044,155447,55447,0.516065587248,10000,6592171.42206

6.7,0.744248500672,155555,55555,0.515491209492,10000,6609223.74983

6.8,0.742667239376,155951,55951,0.516033443736,10000,6633436.52612

6.9,0.743708835735,155393,55393,0.516046665938,10000,6641061.561

7.0,0.741742996278,156015,56015,0.516118067349,10000,6647108.22344

7.1,0.743249154066,156781,56781,0.515383609764,10000,6662989.768

7.2,0.739697867813,156277,56277,0.516711426431,10000,6671686.86674

7.3,0.739604684423,156935,56935,0.516134538737,10000,6689374.99718

7.4,0.739282893689,155797,55797,0.517392018975,10000,6696830.70665

7.5,0.740130706324,155913,55913,0.51706072238,10000,6692360.5373

7.6,0.740663439475,156799,56799,0.51602156619,10000,6718293.39438

7.7,0.741838337182,156308,56308,0.516298811118,10000,6716367.75377

7.8,0.743317650885,155918,55918,0.515703453802,10000,6721391.23485

7.9,0.741334962167,156258,56258,0.515968418894,10000,6737821.84372

8.0,0.743230909294,156309,56309,0.515644922379,10000,6733677.733

8.1,0.741325215556,156455,56455,0.516048400694,10000,6750030.8958

8.2,0.741210636494,156022,56022,0.516253935226,10000,6757016.8723

8.3,0.743867087506,156398,56398,0.515259544226,10000,6759351.94681

8.4,0.739938175203,156193,56193,0.516377769705,10000,6761886.40888

8.5,0.743828725576,156129,56129,0.515715037689,10000,6771605.48732

8.6,0.74058880715,156090,56090,0.516804435291,10000,6787311.43265

8.7,0.740016046032,156359,56359,0.516731675473,10000,6797692.31445

8.8,0.742343073257,156375,56375,0.516173844245,10000,6804726.5

8.9,0.738561441337,156080,56080,0.516853023542,10000,6789335.7694

